Key,BPM,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Placering
1,129,99,64,79,5,0,6,4,0
6,129,46,86,21,83,31,5,11,0
1,138,99,53,64,0,55,19,10,1
9,112,79,89,20,75,20,6,3,0
8,135,78,64,80,1,0,48,3,1
6,96,44,75,19,85,32,23,3,0
2,136,42,82,19,86,25,21,12,0
8,144,99,65,97,13,0,36,5,2
11,204,97,34,62,0,0,13,6,0
11,92,94,71,19,69,34,5,5,0
4,86,76,55,42,27,0,13,4,1
5,160,83,44,69,1,0,40,4,0
2,130,63,80,43,13,0,6,5,0
7,92,97,72,18,69,21,14,13,0
7,138,94,71,75,28,0,14,5,2!
7,89,30,69,22,88,27,12,8,0
5,92,72,72,23,75,31,32,14,0
1,131,97,70,96,8,0,19,3,0
9,96,35,74,21,86,36,14,11,0
11,99,35,78,18,88,23,25,11,0
8,206,77,60,89,11,0,13,6,1
9,103,50,81,18,84,26,4,2,0
1,132,74,78,96,23,0,5,3,0
10,136,77,75,97,7,0,16,4,1
5,178,86,49,47,1,0,25,4,0
10,92,63,54,49,20,0,16,3,0
7,112,96,89,19,68,21,16,3,0
2,104,94,60,71,3,0,21,4,1
4,123,64,92,20,78,29,10,11,0
9,132,91,61,77,20,0,9,4,2
9,150,70,45,22,4,0,13,3,1
11,106,78,59,90,0,0,11,3,0
--------------------------------------
11,108,95,84,22,68,37,25,3,0
3,131,82,68,86,22,0,16,3,0
3,100,100,65,81,23,0,6,8,0
8,129,72,87,20,76,23,12,4,0
6,141,60,59,76,59,0,40,4,1
6,132,94,64,70,0,17,5,4,0
8,124,76,69,91,10,0,6,3,0
10,100,78,65,59,21,0,32,4,2
1,119,85,73,73,2,0,35,8,0
8,104,75,65,68,4,0,46,3,1
8,123,95,92,20,70,25,16,5,0
7,112,67,88,21,77,22,11,3,0
1,145,94,63,94,2,0,34,4,0
3,132,92,56,61,2,0,9,6,2!
10,134,63,55,57,1,0,9,3,0
3,128,83,73,69,10,0,11,5,2
5,141,85,62,91,2,0,42,3,1
9,123,99,92,20,68,27,24,5,0
8,144,85,63,46,0,5,13,10,0
1,141,96,61,94,6,0,5,3,1
2,81,46,53,11,30,0,14,3,0
8,136,99,82,20,68,24,13,3,0
11,131,77,68,15,0,1,10,4,0
8,117,67,92,20,78,24,16,8,0
11,129,90,86,23,67,30,15,6,0
5,148,91,60,88,1,0,17,3,0
2,144,66,75,21,78,24,23,3,1
1,112,55,88,20,81,28,31,7,0
1,94,95,69,79,25,0,22,11,1
8,129,94,80,17,0,95,5,4,0
10,120,48,66,53,13,0,8,3,0
